# matchedfilter ACCURACY table -- false dismissal, measured
#
# commit  d3fd917
# trials  24000 injected per cell
#
# THE GPU'S ALGORITHM, measured with the GPU filtering.
#
# accuracy.txt is the same grid measured with the CPU filtering, and the two
# are not interchangeable: where the CPU interpolates the coarse peak, the
# GPU escalates the whole interpolation window, so it refines a superset of
# the CPU's pairs. Measured over the 5600 shared cells at 24000 trials each,
# the GPU's summed dismissal is 0.807 of the CPU's -- 92% of cells agree
# within 2 sigma, 7% are genuinely lower, and 1% higher, which is fewer than
# the ~2.3% that 5600 two-sigma comparisons produce by chance.
#
# So the GPU was keeping a promise made for a more aggressive algorithm than
# it runs, and paying for it in refinement it did not need.
#
# Covers only the lengths the GPU backend runs. accuracy.txt still serves
# every other length and the CPU.
#
# KEY: n, taps, snr, in-band fraction f, effective bandwidth B_eff, coarse
# margin. BAND IS NOT IN THE KEY. Measured at n=8192, f=0.99, B_eff=16, the
# dismissal across bands 256, 512, 1024 and 2048 is 1.64, 1.88, 1.77 and
# 1.75e-2 -- a 1.14x spread inside the error bars, across band/B_eff from 16
# to 128. A candidate band enters only through the (f, B_eff) at its own
# edge, which selection computes from the reference.
#
# B_eff is sampled ABSOLUTELY, not as a fraction of the band. The previous
# grid did the latter, which tied it to the variable that does not matter
# and left a floor near band/10 -- so it never reached the values real
# references have. The FIR-search reference sits at B_eff 1.1 at every band.
#
# The margin dominates: 90x across 0.97 to 1.00, against 1.6x for 16x of n
# and 1.14x across every band. It gets the finest ladder.
#
# Rates below about 3/trials are not resolved and read as 0.0; that is a
# resolution floor, not a demonstration of safety.
#
# ACC2 n K snr f beff margin dismissal
ACC2 1024 4 5.00 0.8000 130.28 1.000 0.0000e+00
ACC2 1024 4 5.00 0.9000 2.03 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9000 2.03 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9000 2.03 0.960 5.7094e-05
ACC2 1024 4 5.00 0.9000 2.03 0.980 1.1419e-04
ACC2 1024 4 5.00 0.9000 2.03 1.000 3.9966e-04
ACC2 1024 4 5.00 0.9000 3.94 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9000 3.94 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9000 3.94 0.960 5.9801e-05
ACC2 1024 4 5.00 0.9000 3.94 0.980 1.7940e-04
ACC2 1024 4 5.00 0.9000 3.94 1.000 7.1762e-04
ACC2 1024 4 5.00 0.9000 8.14 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9000 8.14 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9000 8.14 0.960 6.2716e-05
ACC2 1024 4 5.00 0.9000 8.14 0.980 6.2716e-05
ACC2 1024 4 5.00 0.9000 8.14 1.000 3.7629e-04
ACC2 1024 4 5.00 0.9000 16.12 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9000 16.12 0.930 6.5308e-05
ACC2 1024 4 5.00 0.9000 16.12 0.960 6.5308e-05
ACC2 1024 4 5.00 0.9000 16.12 0.980 1.3062e-04
ACC2 1024 4 5.00 0.9000 16.12 1.000 1.9592e-04
ACC2 1024 4 5.00 0.9000 32.60 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9000 32.60 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9000 32.60 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9000 32.60 0.980 1.3617e-04
ACC2 1024 4 5.00 0.9000 32.60 1.000 3.4044e-04
ACC2 1024 4 5.00 0.9000 64.54 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9000 64.54 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9000 64.54 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9000 64.54 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9000 64.54 1.000 0.0000e+00
ACC2 1024 4 5.00 0.9000 130.28 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9000 130.28 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9000 130.28 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9000 130.28 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9000 130.28 1.000 0.0000e+00
ACC2 1024 4 5.00 0.9500 2.03 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9500 2.03 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9500 2.03 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9500 2.03 0.980 2.3176e-04
ACC2 1024 4 5.00 0.9500 2.03 1.000 1.2747e-03
ACC2 1024 4 5.00 0.9500 3.94 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9500 3.94 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9500 3.94 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9500 3.94 0.980 1.2019e-04
ACC2 1024 4 5.00 0.9500 3.94 1.000 6.0096e-04
ACC2 1024 4 5.00 0.9500 8.14 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9500 8.14 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9500 8.14 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9500 8.14 0.980 1.8746e-04
ACC2 1024 4 5.00 0.9500 8.14 1.000 4.9991e-04
ACC2 1024 4 5.00 0.9500 16.12 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9500 16.12 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9500 16.12 0.960 6.4800e-05
ACC2 1024 4 5.00 0.9500 16.12 0.980 1.2960e-04
ACC2 1024 4 5.00 0.9500 16.12 1.000 3.8880e-04
ACC2 1024 4 5.00 0.9500 32.60 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9500 32.60 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9500 32.60 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9500 32.60 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9500 32.60 1.000 1.3358e-04
ACC2 1024 4 5.00 0.9500 64.54 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9500 64.54 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9500 64.54 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9500 64.54 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9500 64.54 1.000 0.0000e+00
ACC2 1024 4 5.00 0.9500 130.28 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9500 130.28 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9500 130.28 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9500 130.28 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9500 130.28 1.000 0.0000e+00
ACC2 1024 4 5.00 0.9800 2.03 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9800 2.03 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9800 2.03 0.960 6.0161e-05
ACC2 1024 4 5.00 0.9800 2.03 0.980 6.0161e-04
ACC2 1024 4 5.00 0.9800 2.03 1.000 6.1364e-03
ACC2 1024 4 5.00 0.9800 3.94 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9800 3.94 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9800 3.94 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9800 3.94 0.980 6.1962e-05
ACC2 1024 4 5.00 0.9800 3.94 1.000 2.8502e-03
ACC2 1024 4 5.00 0.9800 8.14 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9800 8.14 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9800 8.14 0.960 6.3796e-05
ACC2 1024 4 5.00 0.9800 8.14 0.980 1.9139e-04
ACC2 1024 4 5.00 0.9800 8.14 1.000 1.8501e-03
ACC2 1024 4 5.00 0.9800 16.12 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9800 16.12 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9800 16.12 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9800 16.12 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9800 16.12 1.000 5.8931e-04
ACC2 1024 4 5.00 0.9800 32.60 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9800 32.60 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9800 32.60 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9800 32.60 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9800 32.60 1.000 1.3399e-04
ACC2 1024 4 5.00 0.9800 64.54 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9800 64.54 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9800 64.54 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9800 64.54 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9800 64.54 1.000 0.0000e+00
ACC2 1024 4 5.00 0.9800 130.28 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9800 130.28 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9800 130.28 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9800 130.28 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9800 130.28 1.000 0.0000e+00
ACC2 1024 4 5.00 0.9950 2.03 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9950 2.03 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9950 2.03 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9950 2.03 0.980 5.1043e-04
ACC2 1024 4 5.00 0.9950 2.03 1.000 2.9733e-02
ACC2 1024 4 5.00 0.9950 3.94 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9950 3.94 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9950 3.94 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9950 3.94 0.980 5.2002e-04
ACC2 1024 4 5.00 0.9950 3.94 1.000 1.6641e-02
ACC2 1024 4 5.00 0.9950 8.14 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9950 8.14 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9950 8.14 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9950 8.14 0.980 3.3082e-04
ACC2 1024 4 5.00 0.9950 8.14 1.000 6.2856e-03
ACC2 1024 4 5.00 0.9950 16.12 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9950 16.12 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9950 16.12 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9950 16.12 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9950 16.12 1.000 1.2747e-03
ACC2 1024 4 5.00 0.9950 32.60 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9950 32.60 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9950 32.60 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9950 32.60 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9950 32.60 1.000 0.0000e+00
ACC2 1024 4 5.00 0.9950 64.54 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9950 64.54 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9950 64.54 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9950 64.54 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9950 64.54 1.000 0.0000e+00
ACC2 1024 4 5.00 0.9950 130.28 0.900 0.0000e+00
ACC2 1024 4 5.00 0.9950 130.28 0.930 0.0000e+00
ACC2 1024 4 5.00 0.9950 130.28 0.960 0.0000e+00
ACC2 1024 4 5.00 0.9950 130.28 0.980 0.0000e+00
ACC2 1024 4 5.00 0.9950 130.28 1.000 0.0000e+00
ACC2 1024 4 5.50 0.8000 2.03 0.900 0.0000e+00
ACC2 1024 4 5.50 0.8000 2.03 0.930 0.0000e+00
ACC2 1024 4 5.50 0.8000 2.03 0.960 2.4814e-04
ACC2 1024 4 5.50 0.8000 2.03 0.980 3.1017e-04
ACC2 1024 4 5.50 0.8000 2.03 1.000 4.9628e-04
ACC2 1024 4 5.50 0.8000 3.94 0.900 6.5415e-05
ACC2 1024 4 5.50 0.8000 3.94 0.930 6.5415e-05
ACC2 1024 4 5.50 0.8000 3.94 0.960 1.9625e-04
ACC2 1024 4 5.50 0.8000 3.94 0.980 3.9249e-04
ACC2 1024 4 5.50 0.8000 3.94 1.000 3.9249e-04
ACC2 1024 4 5.50 0.8000 8.14 0.900 0.0000e+00
ACC2 1024 4 5.50 0.8000 8.14 0.930 6.8334e-05
ACC2 1024 4 5.50 0.8000 8.14 0.960 6.8334e-05
ACC2 1024 4 5.50 0.8000 8.14 0.980 1.3667e-04
ACC2 1024 4 5.50 0.8000 8.14 1.000 2.7334e-04
ACC2 1024 4 5.50 0.8000 16.12 0.900 0.0000e+00
ACC2 1024 4 5.50 0.8000 16.12 0.930 1.4172e-04
ACC2 1024 4 5.50 0.8000 16.12 0.960 2.8345e-04
ACC2 1024 4 5.50 0.8000 16.12 0.980 4.2517e-04
ACC2 1024 4 5.50 0.8000 16.12 1.000 4.9603e-04
ACC2 1024 4 5.50 0.8000 32.60 0.900 7.2632e-05
ACC2 1024 4 5.50 0.8000 32.60 0.930 7.2632e-05
ACC2 1024 4 5.50 0.8000 32.60 0.960 1.4526e-04
ACC2 1024 4 5.50 0.8000 32.60 0.980 2.1790e-04
ACC2 1024 4 5.50 0.8000 32.60 1.000 4.3579e-04
ACC2 1024 4 5.50 0.8000 64.54 0.900 0.0000e+00
ACC2 1024 4 5.50 0.8000 64.54 0.930 0.0000e+00
ACC2 1024 4 5.50 0.8000 64.54 0.960 0.0000e+00
ACC2 1024 4 5.50 0.8000 64.54 0.980 1.4896e-04
ACC2 1024 4 5.50 0.8000 64.54 1.000 2.2345e-04
ACC2 1024 4 5.50 0.8000 130.28 0.900 0.0000e+00
ACC2 1024 4 5.50 0.8000 130.28 0.930 0.0000e+00
ACC2 1024 4 5.50 0.8000 130.28 0.960 0.0000e+00
ACC2 1024 4 5.50 0.8000 130.28 0.980 0.0000e+00
ACC2 1024 4 5.50 0.8000 130.28 1.000 0.0000e+00
ACC2 1024 4 5.50 0.9000 2.03 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9000 2.03 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9000 2.03 0.960 5.9453e-05
ACC2 1024 4 5.50 0.9000 2.03 0.980 1.7836e-04
ACC2 1024 4 5.50 0.9000 2.03 1.000 3.5672e-04
ACC2 1024 4 5.50 0.9000 3.94 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9000 3.94 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9000 3.94 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9000 3.94 0.980 1.8700e-04
ACC2 1024 4 5.50 0.9000 3.94 1.000 5.6099e-04
ACC2 1024 4 5.50 0.9000 8.14 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9000 8.14 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9000 8.14 0.960 6.5411e-05
ACC2 1024 4 5.50 0.9000 8.14 0.980 6.5411e-05
ACC2 1024 4 5.50 0.9000 8.14 1.000 3.2705e-04
ACC2 1024 4 5.50 0.9000 16.12 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9000 16.12 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9000 16.12 0.960 6.7921e-05
ACC2 1024 4 5.50 0.9000 16.12 0.980 1.3584e-04
ACC2 1024 4 5.50 0.9000 16.12 1.000 3.3960e-04
ACC2 1024 4 5.50 0.9000 32.60 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9000 32.60 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9000 32.60 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9000 32.60 0.980 1.4031e-04
ACC2 1024 4 5.50 0.9000 32.60 1.000 3.5078e-04
ACC2 1024 4 5.50 0.9000 64.54 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9000 64.54 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9000 64.54 0.960 7.2537e-05
ACC2 1024 4 5.50 0.9000 64.54 0.980 7.2537e-05
ACC2 1024 4 5.50 0.9000 64.54 1.000 7.2537e-05
ACC2 1024 4 5.50 0.9000 130.28 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9000 130.28 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9000 130.28 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9000 130.28 0.980 0.0000e+00
ACC2 1024 4 5.50 0.9000 130.28 1.000 0.0000e+00
ACC2 1024 4 5.50 0.9500 2.03 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9500 2.03 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9500 2.03 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9500 2.03 0.980 5.9609e-05
ACC2 1024 4 5.50 0.9500 2.03 1.000 5.9609e-04
ACC2 1024 4 5.50 0.9500 3.94 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9500 3.94 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9500 3.94 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9500 3.94 0.980 6.2050e-05
ACC2 1024 4 5.50 0.9500 3.94 1.000 7.4460e-04
ACC2 1024 4 5.50 0.9500 8.14 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9500 8.14 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9500 8.14 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9500 8.14 0.980 6.4533e-05
ACC2 1024 4 5.50 0.9500 8.14 1.000 1.2907e-04
ACC2 1024 4 5.50 0.9500 16.12 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9500 16.12 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9500 16.12 0.960 6.6916e-05
ACC2 1024 4 5.50 0.9500 16.12 0.980 2.0075e-04
ACC2 1024 4 5.50 0.9500 16.12 1.000 4.0150e-04
ACC2 1024 4 5.50 0.9500 32.60 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9500 32.60 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9500 32.60 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9500 32.60 0.980 0.0000e+00
ACC2 1024 4 5.50 0.9500 32.60 1.000 1.3788e-04
ACC2 1024 4 5.50 0.9500 64.54 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9500 64.54 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9500 64.54 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9500 64.54 0.980 0.0000e+00
ACC2 1024 4 5.50 0.9500 64.54 1.000 0.0000e+00
ACC2 1024 4 5.50 0.9500 130.28 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9500 130.28 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9500 130.28 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9500 130.28 0.980 0.0000e+00
ACC2 1024 4 5.50 0.9500 130.28 1.000 0.0000e+00
ACC2 1024 4 5.50 0.9800 2.03 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9800 2.03 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9800 2.03 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9800 2.03 0.980 1.8476e-04
ACC2 1024 4 5.50 0.9800 2.03 1.000 4.0648e-03
ACC2 1024 4 5.50 0.9800 3.94 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9800 3.94 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9800 3.94 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9800 3.94 0.980 1.2699e-04
ACC2 1024 4 5.50 0.9800 3.94 1.000 2.4129e-03
ACC2 1024 4 5.50 0.9800 8.14 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9800 8.14 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9800 8.14 0.960 6.5398e-05
ACC2 1024 4 5.50 0.9800 8.14 0.980 1.3080e-04
ACC2 1024 4 5.50 0.9800 8.14 1.000 1.3734e-03
ACC2 1024 4 5.50 0.9800 16.12 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9800 16.12 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9800 16.12 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9800 16.12 0.980 0.0000e+00
ACC2 1024 4 5.50 0.9800 16.12 1.000 3.3550e-04
ACC2 1024 4 5.50 0.9800 32.60 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9800 32.60 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9800 32.60 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9800 32.60 0.980 0.0000e+00
ACC2 1024 4 5.50 0.9800 32.60 1.000 6.8700e-05
ACC2 1024 4 5.50 0.9800 64.54 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9800 64.54 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9800 64.54 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9800 64.54 0.980 0.0000e+00
ACC2 1024 4 5.50 0.9800 64.54 1.000 0.0000e+00
ACC2 1024 4 5.50 0.9800 130.28 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9800 130.28 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9800 130.28 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9800 130.28 0.980 0.0000e+00
ACC2 1024 4 5.50 0.9800 130.28 1.000 0.0000e+00
ACC2 1024 4 5.50 0.9950 2.03 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9950 2.03 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9950 2.03 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9950 2.03 0.980 1.9549e-04
ACC2 1024 4 5.50 0.9950 2.03 1.000 2.4827e-02
ACC2 1024 4 5.50 0.9950 3.94 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9950 3.94 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9950 3.94 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9950 3.94 0.980 1.9899e-04
ACC2 1024 4 5.50 0.9950 3.94 1.000 1.5057e-02
ACC2 1024 4 5.50 0.9950 8.14 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9950 8.14 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9950 8.14 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9950 8.14 0.980 1.3515e-04
ACC2 1024 4 5.50 0.9950 8.14 1.000 4.7304e-03
ACC2 1024 4 5.50 0.9950 16.12 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9950 16.12 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9950 16.12 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9950 16.12 0.980 0.0000e+00
ACC2 1024 4 5.50 0.9950 16.12 1.000 1.3007e-03
ACC2 1024 4 5.50 0.9950 32.60 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9950 32.60 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9950 32.60 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9950 32.60 0.980 0.0000e+00
ACC2 1024 4 5.50 0.9950 32.60 1.000 0.0000e+00
ACC2 1024 4 5.50 0.9950 64.54 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9950 64.54 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9950 64.54 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9950 64.54 0.980 0.0000e+00
ACC2 1024 4 5.50 0.9950 64.54 1.000 0.0000e+00
ACC2 1024 4 5.50 0.9950 130.28 0.900 0.0000e+00
ACC2 1024 4 5.50 0.9950 130.28 0.930 0.0000e+00
ACC2 1024 4 5.50 0.9950 130.28 0.960 0.0000e+00
ACC2 1024 4 5.50 0.9950 130.28 0.980 0.0000e+00
ACC2 1024 4 5.50 0.9950 130.28 1.000 0.0000e+00
ACC2 1024 4 6.00 0.8000 2.03 0.900 0.0000e+00
ACC2 1024 4 6.00 0.8000 2.03 0.930 0.0000e+00
